Route,2015,2016,2017,2018,2019,2020,2019-2020 Change,Percent Change,2020 Rank
B1,19409,19828,18987,18180,18838,9918,-8920,-0.47,28
B2,2579,2464,2216,2088,2174,969,-1205,-0.55,203
B3,11914,11803,11544,11309,11554,7062,-4492,-0.39,52
B4,5653,6195,6207,6192,6069,2159,-3910,-0.64,163
B6,41175,41320,40135,35963,34062,20631,-13431,-0.39,4
B7,5870,6066,5814,5091,4920,3030,-1890,-0.38,141
B8,19541,19616,18981,18388,18036,6767,-11269,-0.63,54
B9,12785,14404,14495,14416,13857,4928,-8929,-0.64,88
B11,11283,11273,10471,10377,10488,4146,-6342,-0.61,103
B12,15766,15380,13604,12124,11542,7956,-3586,-0.31,38
B13,5844,6290,6193,6084,6259,4220,-2039,-0.33,100
B14,7214,7243,6577,5900,5442,3601,-1841,-0.34,119
B15,22153,22282,19827,17977,16510,11388,-5122,-0.31,24
B16,6686,6739,6760,6184,6150,2154,-3996,-0.65,164
B17,11605,11279,10403,9382,9527,6154,-3373,-0.35,60
B20,7433,7042,6765,6315,6008,3917,-2091,-0.35,113
B24,2379,2390,2293,2449,2563,1709,-854,-0.33,188
B25,10041,10048,8880,7874,7631,5256,-2375,-0.31,74
B26,9757,9723,9011,8234,8038,5081,-2957,-0.37,79
B31,2664,2753,2721,2619,2671,1260,-1411,-0.53,198
B32,725,819,849,820,904,470,-434,-0.48,219
B35,33016,31886,29899,27273,24887,17811,-7076,-0.28,6
B36,14320,14026,13108,12305,11795,7401,-4394,-0.37,46
B37,2208,2380,2558,2300,2196,835,-1361,-0.62,207
B38,19241,19099,18828,18011,16660,6054,-10606,-0.64,62
B39,258,260,239,220,218,287,69,0.32,223
B41,28690,27082,24970,22967,22553,15934,-6619,-0.29,11
B42,4310,4186,3885,3546,3010,1839,-1171,-0.39,184
B43,10530,10540,9832,9346,9196,3292,-5904,-0.64,131
B44Lcl/SBS,37021,37418,34877,32334,31375,20445,-10930,-0.35,5
B45,6217,6019,5510,4973,4846,3315,-1531,-0.32,128
B46Lcl/SBS,44431,43463,41786,38120,36375,22696,-13679,-0.38,3
B47,10611,10436,9495,9252,9017,5821,-3196,-0.35,65
B48,3759,3851,3683,3534,3406,2100,-1306,-0.38,167
B49,12755,12452,11674,10886,10653,7427,-3226,-0.30,44
B52,12451,12435,11326,9940,9317,5854,-3463,-0.37,64
B54,10946,10466,9640,9197,8590,5308,-3282,-0.38,71
B57,7072,7244,7064,6851,6837,4487,-2350,-0.34,94
B60,9753,9906,9443,8364,8166,5283,-2883,-0.35,73
B61,10233,9945,9377,8876,8438,3088,-5350,-0.63,136
